Trend,Start Date,End Date,Profit
DOWN,2010-12-03,2010-12-06,-14.380000000001019
UP,2010-12-06,2010-12-09,-738.9500000000007
DOWN,2010-12-09,2010-12-14,-556.8299999999981
UP,2010-12-14,2010-12-15,-151.41999999999825
DOWN,2010-12-15,2010-12-21,-412.5499999999993
UP,2010-12-21,2010-12-23,-77.43999999999869
DOWN,2010-12-23,2010-12-24,-90.77999999999884
UP,2010-12-24,2010-12-28,-48.2400000000016
DOWN,2010-12-28,2011-01-03,-535.630000000001
UP,2011-01-03,2011-01-11,-1364.7099999999991
DOWN,2011-01-11,2011-01-12,-337.7599999999984
UP,2011-01-12,2011-01-14,-673.6599999999999
DOWN,2011-01-14,2011-01-18,-231.61000000000058
UP,2011-01-18,2011-01-19,-113.72999999999956
DOWN,2011-01-19,2011-01-20,-68.22000000000116
UP,2011-01-20,2011-01-21,-39.01000000000204
DOWN,2011-01-21,2011-01-24,-143.75
UP,2011-01-24,2011-02-01,-1129.0599999999977
DOWN,2011-02-01,2011-02-03,-427.09000000000015
UP,2011-02-03,2011-02-04,-441.15999999999985
DOWN,2011-02-04,2011-02-07,-29.039999999997235
UP,2011-02-07,2011-02-10,-574.1499999999978
DOWN,2011-02-10,2011-02-17,-1043.7799999999988
UP,2011-02-17,2011-02-18,-295.2999999999993
DOWN,2011-02-18,2011-02-21,-226.79000000000087
UP,2011-02-21,2011-02-24,-805.9000000000015
DOWN,2011-02-24,2011-03-03,-857.3499999999985
UP,2011-03-03,2011-03-07,-267.09000000000015
DOWN,2011-03-07,2011-03-09,-247.28000000000247
UP,2011-03-09,2011-03-11,-295.8600000000006
DOWN,2011-03-11,2011-03-14,-265.3899999999994
UP,2011-03-14,2011-03-15,-271.84000000000015
DOWN,2011-03-15,2011-03-16,-191.04999999999927
UP,2011-03-16,2011-03-21,-519.6399999999994
DOWN,2011-03-21,2011-03-31,-1606.170000000002
UP,2011-03-31,2011-04-01,-24.830000000001746
DOWN,2011-04-01,2011-04-04,-281.34000000000015
UP,2011-04-04,2011-04-11,-439.1899999999987
DOWN,2011-04-11,2011-04-13,-434.3199999999997
UP,2011-04-13,2011-04-18,-605.6900000000023
DOWN,2011-04-18,2011-04-21,-511.0600000000013
UP,2011-04-21,2011-05-05,-1391.6499999999978
