Trend,Start Date,End Date,Duration (days),RSI Start,RSI End,Next Start Date,Gap Days
UP,2020-10-21,2020-10-22,2,77.65,71.69,2020-10-22,0.0
DOWN,2020-10-22,2020-10-23,2,71.69,70.66,2020-10-23,0.0
UP,2020-10-23,2020-10-26,4,70.66,56.99,2020-10-26,0.0
DOWN,2020-10-26,2020-10-27,2,56.99,57.74,2020-10-27,0.0
UP,2020-10-27,2020-10-30,4,57.74,38.73,2020-10-30,0.0
DOWN,2020-10-30,2020-11-11,13,38.73,75.59,2020-11-11,0.0
UP,2020-11-11,2020-11-12,2,75.59,72.11,2020-11-12,0.0
DOWN,2020-11-12,2020-11-18,7,72.11,92.81,2020-11-18,0.0
UP,2020-11-18,2020-11-19,2,92.81,85.47,2020-11-19,0.0
DOWN,2020-11-19,2020-11-24,6,85.47,85.26,2020-11-24,0.0
UP,2020-11-24,2020-11-25,2,85.26,72.57,2020-11-25,0.0
DOWN,2020-11-25,2020-11-26,2,72.57,71.96,2020-11-26,0.0
UP,2020-11-26,2020-11-27,2,71.96,66.19,2020-11-27,0.0
DOWN,2020-11-27,2020-12-01,5,66.19,64.91,2020-12-01,0.0
UP,2020-12-01,2020-12-02,2,64.91,61.8,2020-12-02,0.0
DOWN,2020-12-02,2020-12-09,8,61.8,70.17,2020-12-09,0.0
UP,2020-12-09,2020-12-10,2,70.17,77.24,2020-12-10,0.0
DOWN,2020-12-10,2020-12-18,9,77.24,94.3,2020-12-18,0.0
UP,2020-12-18,2020-12-21,4,94.3,61.03,2020-12-21,0.0
DOWN,2020-12-21,2021-01-05,16,61.03,71.8,2021-01-05,0.0
UP,2021-01-05,2021-01-07,3,71.8,62.78,2021-01-07,0.0
DOWN,2021-01-07,2021-01-12,6,62.78,91.8,2021-01-12,0.0
UP,2021-01-12,2021-01-13,2,91.8,90.25,2021-01-13,0.0
DOWN,2021-01-13,2021-01-14,2,90.25,88.97,2021-01-14,0.0
UP,2021-01-14,2021-01-18,5,88.97,62.75,2021-01-18,0.0
DOWN,2021-01-18,2021-01-20,3,62.75,71.17,2021-01-20,0.0
UP,2021-01-20,2021-01-29,10,71.17,31.1,2021-01-29,0.0
DOWN,2021-01-29,2021-02-08,11,31.1,64.21,2021-02-08,0.0
UP,2021-02-08,2021-02-10,3,64.21,58.81,2021-02-10,0.0
DOWN,2021-02-10,2021-02-15,6,58.81,73.76,2021-02-15,0.0
UP,2021-02-15,2021-02-22,8,73.76,49.45,2021-02-22,0.0
DOWN,2021-02-22,2021-02-25,4,49.45,52.96,2021-02-25,0.0
UP,2021-02-25,2021-02-26,2,52.96,32.78,2021-02-26,0.0
DOWN,2021-02-26,2021-03-03,6,32.78,49.5,2021-03-03,0.0
UP,2021-03-03,2021-03-05,3,49.5,40.31,2021-03-05,0.0
DOWN,2021-03-05,2021-03-10,6,40.31,49.75,2021-03-10,0.0
UP,2021-03-10,2021-03-18,9,49.75,38.97,2021-03-18,0.0
DOWN,2021-03-18,2021-03-19,2,38.97,55.44,2021-03-19,0.0
UP,2021-03-19,2021-03-22,4,55.44,49.38,2021-03-22,0.0
DOWN,2021-03-22,2021-03-23,2,49.38,48.0,2021-03-23,0.0
UP,2021-03-23,2021-03-25,3,48.0,29.94,2021-03-25,0.0
DOWN,2021-03-25,2021-03-30,6,29.94,47.89,2021-03-30,0.0
UP,2021-03-30,2021-03-31,2,47.89,39.56,2021-03-31,0.0
DOWN,2021-03-31,2021-04-01,2,39.56,41.7,2021-04-01,0.0
UP,2021-04-01,2021-04-05,5,41.7,39.68,2021-04-05,0.0
DOWN,2021-04-05,2021-04-08,4,39.68,49.63,2021-04-08,0.0
UP,2021-04-08,2021-04-12,5,49.63,37.87,2021-04-12,0.0
DOWN,2021-04-12,2021-04-16,5,37.87,47.78,2021-04-16,0.0
UP,2021-04-16,2021-04-20,5,47.78,41.51,2021-04-20,0.0
DOWN,2021-04-20,2021-04-22,3,41.51,35.14,2021-04-22,0.0
UP,2021-04-22,2021-04-23,2,35.14,37.44,2021-04-23,0.0
DOWN,2021-04-23,2021-04-29,7,37.44,50.8,2021-04-29,0.0
UP,2021-04-29,2021-05-04,6,50.8,53.06,2021-05-04,0.0
DOWN,2021-05-04,2021-05-10,7,53.06,64.2,2021-05-10,0.0
UP,2021-05-10,2021-05-12,3,64.2,55.39,2021-05-12,0.0
DOWN,2021-05-12,2021-05-18,7,55.39,60.59,2021-05-18,0.0
UP,2021-05-18,2021-05-20,3,60.59,48.24,2021-05-20,0.0
DOWN,2021-05-20,2021-05-24,5,48.24,66.83,2021-05-24,0.0
UP,2021-05-24,2021-05-25,2,66.83,72.52,2021-05-25,0.0
DOWN,2021-05-25,2021-05-31,7,72.52,72.78,2021-05-31,0.0
UP,2021-05-31,2021-06-02,3,72.78,84.18,2021-06-02,0.0
DOWN,2021-06-02,2021-06-03,2,84.18,85.27,2021-06-03,0.0
UP,2021-06-03,2021-06-04,2,85.27,79.67,2021-06-04,0.0
DOWN,2021-06-04,2021-06-07,4,79.67,77.65,2021-06-07,0.0
UP,2021-06-07,2021-06-09,3,77.65,82.83,2021-06-09,0.0
DOWN,2021-06-09,2021-06-15,7,82.83,79.55,2021-06-15,0.0
UP,2021-06-15,2021-06-17,3,79.55,64.94,2021-06-17,0.0
DOWN,2021-06-17,2021-06-22,6,64.94,63.81,2021-06-22,0.0
UP,2021-06-22,2021-06-23,2,63.81,51.43,2021-06-23,0.0
DOWN,2021-06-23,2021-06-25,3,51.43,60.52,2021-06-25,0.0
UP,2021-06-25,2021-07-01,7,60.52,46.9,2021-07-01,0.0
DOWN,2021-07-01,2021-07-05,5,46.9,51.92,2021-07-05,0.0
UP,2021-07-05,2021-07-06,2,51.92,57.09,2021-07-06,0.0
DOWN,2021-07-06,2021-07-07,2,57.09,64.36,2021-07-07,0.0
UP,2021-07-07,2021-07-12,6,64.36,46.36,2021-07-12,0.0
DOWN,2021-07-12,2021-07-15,4,46.36,54.1,2021-07-15,0.0
UP,2021-07-15,2021-07-20,6,54.1,45.78,2021-07-20,0.0
DOWN,2021-07-20,2021-07-23,4,45.78,56.44,2021-07-23,0.0
UP,2021-07-23,2021-07-28,6,56.44,41.83,2021-07-28,0.0
DOWN,2021-07-28,2021-07-29,2,41.83,51.22,2021-07-29,0.0
UP,2021-07-29,2021-07-30,2,51.22,53.0,2021-07-30,0.0
DOWN,2021-07-30,2021-08-05,7,53.0,64.98,2021-08-05,0.0
UP,2021-08-05,2021-08-06,2,64.98,62.24,2021-08-06,0.0
DOWN,2021-08-06,2021-08-10,5,62.24,79.58,2021-08-10,0.0
UP,2021-08-10,2021-08-11,2,79.58,75.03,2021-08-11,0.0
DOWN,2021-08-11,2021-08-17,7,75.03,92.19,2021-08-17,0.0
UP,2021-08-17,2021-08-20,4,92.19,82.99,2021-08-20,0.0
DOWN,2021-08-20,2021-08-24,5,82.99,80.09,2021-08-24,0.0
UP,2021-08-24,2021-08-25,2,80.09,76.09,2021-08-25,0.0
DOWN,2021-08-25,2021-08-31,7,76.09,87.37,2021-08-31,0.0
UP,2021-08-31,2021-09-01,2,87.37,83.51,2021-09-01,0.0
DOWN,2021-09-01,2021-09-06,6,83.51,83.12,2021-09-06,0.0
UP,2021-09-06,2021-09-08,3,83.12,84.74,2021-09-08,0.0
DOWN,2021-09-08,2021-09-09,2,84.74,92.19,2021-09-09,0.0
UP,2021-09-09,2021-09-13,5,92.19,88.25,2021-09-13,0.0
DOWN,2021-09-13,2021-09-16,4,88.25,90.22,2021-09-16,0.0
UP,2021-09-16,2021-09-20,5,90.22,71.77,2021-09-20,0.0
DOWN,2021-09-20,2021-09-21,2,71.77,70.58,2021-09-21,0.0
UP,2021-09-21,2021-09-22,2,70.58,73.42,2021-09-22,0.0
DOWN,2021-09-22,2021-09-27,6,73.42,74.84,2021-09-27,0.0
UP,2021-09-27,2021-10-01,5,74.84,56.3,2021-10-01,0.0
DOWN,2021-10-01,2021-10-05,5,56.3,60.01,2021-10-05,0.0
UP,2021-10-05,2021-10-06,2,60.01,50.46,2021-10-06,0.0
DOWN,2021-10-06,2021-10-18,13,50.46,65.56,2021-10-18,0.0
UP,2021-10-18,2021-10-22,5,65.56,70.34,2021-10-22,0.0
DOWN,2021-10-22,2021-10-26,5,70.34,67.44,2021-10-26,0.0
UP,2021-10-26,2021-10-29,4,67.44,42.8,2021-10-29,0.0
DOWN,2021-10-29,2021-11-01,4,42.8,50.02,2021-11-01,0.0
UP,2021-11-01,2021-11-03,3,50.02,41.6,2021-11-03,0.0
DOWN,2021-11-03,2021-11-08,6,41.6,38.88,2021-11-08,0.0
UP,2021-11-08,2021-11-11,4,38.88,40.48,2021-11-11,0.0
DOWN,2021-11-11,2021-11-15,5,40.48,47.87,2021-11-15,0.0
UP,2021-11-15,2021-11-22,8,47.87,42.56,2021-11-22,0.0
DOWN,2021-11-22,2021-11-23,2,42.56,35.31,2021-11-23,0.0
UP,2021-11-23,2021-11-24,2,35.31,33.86,2021-11-24,0.0
DOWN,2021-11-24,2021-11-25,2,33.86,41.0,2021-11-25,0.0
UP,2021-11-25,2021-11-26,2,41.0,28.29,2021-11-26,0.0
DOWN,2021-11-26,2021-11-29,4,28.29,24.71,2021-11-29,0.0
UP,2021-11-29,2021-11-30,2,24.71,24.4,2021-11-30,0.0
DOWN,2021-11-30,2021-12-02,3,24.4,40.23,2021-12-02,0.0
UP,2021-12-02,2021-12-06,5,40.23,26.29,2021-12-06,0.0
DOWN,2021-12-06,2021-12-09,4,26.29,45.57,2021-12-09,0.0
UP,2021-12-09,2021-12-15,7,45.57,43.88,2021-12-15,0.0
DOWN,2021-12-15,2021-12-16,2,43.88,55.97,2021-12-16,0.0
UP,2021-12-16,2021-12-20,5,55.97,42.59,2021-12-20,0.0
DOWN,2021-12-20,2021-12-23,4,42.59,47.53,2021-12-23,0.0
UP,2021-12-23,2021-12-24,2,47.53,52.71,2021-12-24,0.0
DOWN,2021-12-24,2021-12-28,5,52.71,43.54,2021-12-28,0.0
UP,2021-12-28,2021-12-30,3,43.54,41.37,2021-12-30,0.0
DOWN,2021-12-30,2022-01-05,7,41.37,66.42,2022-01-05,0.0
UP,2022-01-05,2022-01-06,2,66.42,69.04,2022-01-06,0.0
DOWN,2022-01-06,2022-01-13,8,69.04,86.97,2022-01-13,0.0
UP,2022-01-13,2022-01-14,2,86.97,86.04,2022-01-14,0.0
DOWN,2022-01-14,2022-01-17,4,86.04,84.92,2022-01-17,0.0
UP,2022-01-17,2022-01-24,8,84.92,31.92,2022-01-24,0.0
DOWN,2022-01-24,2022-01-25,2,31.92,31.91,2022-01-25,0.0
UP,2022-01-25,2022-01-28,4,31.91,30.22,2022-01-28,0.0
DOWN,2022-01-28,2022-02-02,6,30.22,39.22,2022-02-02,0.0
UP,2022-02-02,2022-02-07,6,39.22,29.82,2022-02-07,0.0
DOWN,2022-02-07,2022-02-10,4,29.82,46.87,2022-02-10,0.0
UP,2022-02-10,2022-02-14,5,46.87,44.06,2022-02-14,0.0
DOWN,2022-02-14,2022-02-15,2,44.06,51.35,2022-02-15,0.0
UP,2022-02-15,2022-02-24,10,51.35,29.82,2022-02-24,0.0
DOWN,2022-02-24,2022-02-28,5,29.82,42.71,2022-02-28,0.0
UP,2022-02-28,2022-03-07,8,42.71,32.98,2022-03-07,0.0
DOWN,2022-03-07,2022-03-14,8,32.98,44.98,2022-03-14,0.0
UP,2022-03-14,2022-03-15,2,44.98,43.78,2022-03-15,0.0
DOWN,2022-03-15,2022-03-17,3,43.78,64.42,2022-03-17,0.0
UP,2022-03-17,2022-03-21,5,64.42,56.64,2022-03-21,0.0
DOWN,2022-03-21,2022-03-22,2,56.64,57.84,2022-03-22,0.0
UP,2022-03-22,2022-03-25,4,57.84,65.41,2022-03-25,0.0
DOWN,2022-03-25,2022-03-30,6,65.41,75.7,2022-03-30,0.0
UP,2022-03-30,2022-03-31,2,75.7,71.71,2022-03-31,0.0
DOWN,2022-03-31,2022-04-04,5,71.71,75.24,2022-04-04,0.0
UP,2022-04-04,2022-04-07,4,75.24,58.42,2022-04-07,0.0
DOWN,2022-04-07,2022-04-08,2,58.42,65.86,2022-04-08,0.0
UP,2022-04-08,2022-04-19,12,65.86,43.13,2022-04-19,0.0
DOWN,2022-04-19,2022-04-21,3,43.13,45.5,2022-04-21,0.0
UP,2022-04-21,2022-04-25,5,45.5,35.16,2022-04-25,0.0
DOWN,2022-04-25,2022-04-26,2,35.16,30.92,2022-04-26,0.0
UP,2022-04-26,2022-04-27,2,30.92,30.55,2022-04-27,0.0
DOWN,2022-04-27,2022-04-28,2,30.55,38.08,2022-04-28,0.0
UP,2022-04-28,2022-05-04,7,38.08,31.99,2022-05-04,0.0
DOWN,2022-05-04,2022-05-05,2,31.99,33.66,2022-05-05,0.0
UP,2022-05-05,2022-05-13,9,33.66,20.35,2022-05-13,0.0
DOWN,2022-05-13,2022-05-17,5,20.35,29.9,2022-05-17,0.0
UP,2022-05-17,2022-05-19,3,29.9,19.86,2022-05-19,0.0
DOWN,2022-05-19,2022-05-20,2,19.86,34.67,2022-05-20,0.0
UP,2022-05-20,2022-05-25,6,34.67,37.9,2022-05-25,0.0
DOWN,2022-05-25,2022-05-30,6,37.9,58.76,2022-05-30,0.0
UP,2022-05-30,2022-06-01,3,58.76,65.28,2022-06-01,0.0
DOWN,2022-06-01,2022-06-02,2,65.28,68.18,2022-06-02,0.0
UP,2022-06-02,2022-06-08,7,68.18,66.95,2022-06-08,0.0
DOWN,2022-06-08,2022-06-09,2,66.95,59.77,2022-06-09,0.0
UP,2022-06-09,2022-06-17,9,59.77,13.74,2022-06-17,0.0
DOWN,2022-06-17,2022-06-21,5,13.74,29.42,2022-06-21,0.0
UP,2022-06-21,2022-06-22,2,29.42,22.23,2022-06-22,0.0
DOWN,2022-06-22,2022-06-28,7,22.23,38.75,2022-06-28,0.0
UP,2022-06-28,2022-07-01,4,38.75,50.61,2022-07-01,0.0
DOWN,2022-07-01,2022-07-04,4,50.61,55.24,2022-07-04,0.0
UP,2022-07-04,2022-07-05,2,55.24,55.8,2022-07-05,0.0
DOWN,2022-07-05,2022-07-08,4,55.8,78.59,2022-07-08,0.0
UP,2022-07-08,2022-07-14,7,78.59,59.67,2022-07-14,0.0
DOWN,2022-07-14,2022-07-22,9,59.67,77.44,2022-07-22,0.0
UP,2022-07-22,2022-07-26,5,77.44,64.44,2022-07-26,0.0
DOWN,2022-07-26,2022-08-03,9,64.44,87.71,2022-08-03,0.0
UP,2022-08-03,2022-08-04,2,87.71,86.31,2022-08-04,0.0
DOWN,2022-08-04,2022-08-08,5,86.31,85.24,2022-08-08,0.0
UP,2022-08-08,2022-08-10,3,85.24,82.87,2022-08-10,0.0
DOWN,2022-08-10,2022-08-18,9,82.87,98.12,2022-08-18,0.0
UP,2022-08-18,2022-08-22,5,98.12,63.59,2022-08-22,0.0
DOWN,2022-08-22,2022-08-24,3,63.59,61.37,2022-08-24,0.0
UP,2022-08-24,2022-08-25,2,61.37,54.97,2022-08-25,0.0
DOWN,2022-08-25,2022-08-26,2,54.97,56.26,2022-08-26,0.0
UP,2022-08-26,2022-08-29,4,56.26,45.89,2022-08-29,0.0
DOWN,2022-08-29,2022-08-30,2,45.89,55.56,2022-08-30,0.0
UP,2022-08-30,2022-09-01,3,55.56,49.63,2022-09-01,0.0
DOWN,2022-09-01,2022-09-05,5,49.63,48.39,2022-09-05,0.0
UP,2022-09-05,2022-09-07,3,48.39,39.97,2022-09-07,0.0
DOWN,2022-09-07,2022-09-13,7,39.97,63.14,2022-09-13,0.0
UP,2022-09-13,2022-09-16,4,63.14,50.05,2022-09-16,0.0
DOWN,2022-09-16,2022-09-20,5,50.05,51.63,2022-09-20,0.0
UP,2022-09-20,2022-09-29,10,51.63,24.74,2022-09-29,0.0
DOWN,2022-09-29,2022-09-30,2,24.74,31.82,2022-09-30,0.0
UP,2022-09-30,2022-10-03,4,31.82,25.03,2022-10-03,0.0
DOWN,2022-10-03,2022-10-06,4,25.03,39.77,2022-10-06,0.0
UP,2022-10-06,2022-10-11,6,39.77,32.79,2022-10-11,0.0
DOWN,2022-10-11,2022-10-12,2,32.79,38.09,2022-10-12,0.0
UP,2022-10-12,2022-10-13,2,38.09,37.83,2022-10-13,0.0
DOWN,2022-10-13,2022-10-24,12,37.83,75.47,2022-10-24,0.0
UP,2022-10-24,2022-10-25,2,75.47,64.83,2022-10-25,0.0
DOWN,2022-10-25,2022-11-01,8,64.83,87.28,2022-11-01,0.0
UP,2022-11-01,2022-11-03,3,87.28,87.94,2022-11-03,0.0
DOWN,2022-11-03,2022-11-07,5,87.94,85.39,2022-11-07,0.0
UP,2022-11-07,2022-11-10,4,85.39,69.85,2022-11-10,0.0
DOWN,2022-11-10,2022-11-11,2,69.85,76.56,2022-11-11,0.0
UP,2022-11-11,2022-11-14,4,76.56,73.42,2022-11-14,0.0
DOWN,2022-11-14,2022-11-16,3,73.42,77.13,2022-11-16,0.0
UP,2022-11-16,2022-11-21,6,77.13,54.83,2022-11-21,0.0
DOWN,2022-11-21,2022-12-01,11,54.83,71.26,2022-12-01,0.0
UP,2022-12-01,2022-12-07,7,71.26,59.12,2022-12-07,0.0
DOWN,2022-12-07,2022-12-08,2,59.12,62.29,2022-12-08,0.0
UP,2022-12-08,2022-12-12,5,62.29,60.66,2022-12-12,0.0
DOWN,2022-12-12,2022-12-14,3,60.66,56.68,2022-12-14,0.0
UP,2022-12-14,2022-12-16,3,56.68,35.91,2022-12-16,0.0
DOWN,2022-12-16,2022-12-19,4,35.91,40.12,2022-12-19,0.0
UP,2022-12-19,2022-12-23,5,40.12,22.01,2022-12-23,0.0
DOWN,2022-12-23,2022-12-27,5,22.01,37.64,2022-12-27,0.0
UP,2022-12-27,2022-12-28,2,37.64,35.82,2022-12-28,0.0
DOWN,2022-12-28,2022-12-29,2,35.82,40.79,2022-12-29,0.0
UP,2022-12-29,2022-12-30,2,40.79,39.13,2022-12-30,0.0
DOWN,2022-12-30,2023-01-03,5,39.13,38.15,2023-01-03,0.0
UP,2023-01-03,2023-01-06,4,38.15,32.43,2023-01-06,0.0
DOWN,2023-01-06,2023-01-09,4,32.43,42.26,2023-01-09,0.0
UP,2023-01-09,2023-01-12,4,42.26,51.11,2023-01-12,0.0
DOWN,2023-01-12,2023-01-13,2,51.11,46.74,2023-01-13,0.0
UP,2023-01-13,2023-01-16,4,46.74,40.71,2023-01-16,0.0
DOWN,2023-01-16,2023-01-18,3,40.71,49.15,2023-01-18,0.0
UP,2023-01-18,2023-01-20,3,49.15,44.54,2023-01-20,0.0
DOWN,2023-01-20,2023-01-24,5,44.54,53.49,2023-01-24,0.0
UP,2023-01-24,2023-01-27,4,53.49,44.81,2023-01-27,0.0
DOWN,2023-01-27,2023-02-03,8,44.81,55.74,2023-02-03,0.0
UP,2023-02-03,2023-02-07,5,55.74,46.22,2023-02-07,0.0
DOWN,2023-02-07,2023-02-09,3,46.22,49.46,2023-02-09,0.0
UP,2023-02-09,2023-02-13,5,49.46,44.51,2023-02-13,0.0
DOWN,2023-02-13,2023-02-16,4,44.51,75.83,2023-02-16,0.0
UP,2023-02-16,2023-02-28,13,75.83,27.38,2023-02-28,0.0
DOWN,2023-02-28,2023-03-01,2,27.38,32.85,2023-03-01,0.0
UP,2023-03-01,2023-03-02,2,32.85,30.06,2023-03-02,0.0
DOWN,2023-03-02,2023-03-08,7,30.06,40.33,2023-03-08,0.0
UP,2023-03-08,2023-03-15,8,40.33,31.65,2023-03-15,0.0
DOWN,2023-03-15,2023-03-17,3,31.65,37.95,2023-03-17,0.0
UP,2023-03-17,2023-03-20,4,37.95,36.84,2023-03-20,0.0
DOWN,2023-03-20,2023-03-22,3,36.84,40.21,2023-03-22,0.0
UP,2023-03-22,2023-03-24,3,40.21,28.87,2023-03-24,0.0
DOWN,2023-03-24,2023-03-27,4,28.87,24.85,2023-03-27,0.0
UP,2023-03-27,2023-03-28,2,24.85,22.8,2023-03-28,0.0
DOWN,2023-03-28,2023-04-13,17,22.8,80.91,2023-04-13,0.0
UP,2023-04-13,2023-04-19,7,80.91,76.52,2023-04-19,0.0
DOWN,2023-04-19,2023-05-02,14,76.52,73.31,2023-05-02,0.0
UP,2023-05-02,2023-05-03,2,73.31,66.79,2023-05-03,0.0
DOWN,2023-05-03,2023-05-04,2,66.79,69.91,2023-05-04,0.0
UP,2023-05-04,2023-05-05,2,69.91,57.67,2023-05-05,0.0
DOWN,2023-05-05,2023-05-08,4,57.67,71.79,2023-05-08,0.0
UP,2023-05-08,2023-05-09,2,71.79,74.98,2023-05-09,0.0
DOWN,2023-05-09,2023-05-10,2,74.98,79.0,2023-05-10,0.0
UP,2023-05-10,2023-05-11,2,79.0,77.97,2023-05-11,0.0
DOWN,2023-05-11,2023-05-15,5,77.97,78.06,2023-05-15,0.0
UP,2023-05-15,2023-05-18,4,78.06,58.89,2023-05-18,0.0
DOWN,2023-05-18,2023-05-23,6,58.89,59.65,2023-05-23,0.0
UP,2023-05-23,2023-05-24,2,59.65,50.33,2023-05-24,0.0
DOWN,2023-05-24,2023-05-30,7,50.33,65.38,2023-05-30,0.0
UP,2023-05-30,2023-06-01,3,65.38,55.38,2023-06-01,0.0
DOWN,2023-06-01,2023-06-07,7,55.38,76.67,2023-06-07,0.0
UP,2023-06-07,2023-06-09,3,76.67,60.36,2023-06-09,0.0
DOWN,2023-06-09,2023-06-14,6,60.36,69.53,2023-06-14,0.0
UP,2023-06-14,2023-06-15,2,69.53,56.59,2023-06-15,0.0
DOWN,2023-06-15,2023-06-16,2,56.59,58.21,2023-06-16,0.0
UP,2023-06-16,2023-06-19,4,58.21,52.96,2023-06-19,0.0
DOWN,2023-06-19,2023-06-21,3,52.96,67.19,2023-06-21,0.0
UP,2023-06-21,2023-06-26,6,67.19,52.63,2023-06-26,0.0
DOWN,2023-06-26,2023-07-04,9,52.63,75.97,2023-07-04,0.0
UP,2023-07-04,2023-07-05,2,75.97,74.95,2023-07-05,0.0
DOWN,2023-07-05,2023-07-06,2,74.95,82.06,2023-07-06,0.0
UP,2023-07-06,2023-07-07,2,82.06,71.01,2023-07-07,0.0
DOWN,2023-07-07,2023-07-11,5,71.01,75.6,2023-07-11,0.0
UP,2023-07-11,2023-07-12,2,75.6,70.78,2023-07-12,0.0
DOWN,2023-07-12,2023-07-20,9,70.78,82.59,2023-07-20,0.0
UP,2023-07-20,2023-07-25,6,82.59,59.48,2023-07-25,0.0
DOWN,2023-07-25,2023-07-26,2,59.48,59.58,2023-07-26,0.0
UP,2023-07-26,2023-07-28,3,59.58,58.52,2023-07-28,0.0
DOWN,2023-07-28,2023-07-31,4,58.52,59.31,2023-07-31,0.0
UP,2023-07-31,2023-08-03,4,59.31,42.23,2023-08-03,0.0
DOWN,2023-08-03,2023-08-07,5,42.23,39.32,2023-08-07,0.0
DOWN,2023-08-07,2023-08-09,3,39.32,32.58,2023-08-09,0.0
UP,2023-08-09,2023-08-11,3,32.58,36.76,2023-08-11,0.0
DOWN,2023-08-11,2023-08-16,6,36.76,34.82,2023-08-16,0.0
UP,2023-08-16,2023-08-18,3,34.82,34.43,2023-08-18,0.0
DOWN,2023-08-18,2023-08-23,6,34.43,44.64,2023-08-23,0.0
UP,2023-08-23,2023-08-25,3,44.64,35.02,2023-08-25,0.0
DOWN,2023-08-25,2023-08-30,6,35.02,33.25,2023-08-30,0.0
UP,2023-08-30,2023-08-31,2,33.25,33.9,2023-08-31,0.0
DOWN,2023-08-31,2023-09-15,16,33.9,92.37,2023-09-15,0.0
UP,2023-09-15,2023-09-22,8,92.37,57.26,2023-09-22,0.0
DOWN,2023-09-22,2023-09-25,4,57.26,54.88,2023-09-25,0.0
UP,2023-09-25,2023-09-26,2,54.88,52.08,2023-09-26,0.0
DOWN,2023-09-26,2023-09-27,2,52.08,52.94,2023-09-27,0.0
UP,2023-09-27,2023-09-28,2,52.94,41.15,2023-09-28,0.0
DOWN,2023-09-28,2023-09-29,2,41.15,40.97,2023-09-29,0.0
UP,2023-09-29,2023-10-04,6,40.97,26.51,2023-10-04,0.0
DOWN,2023-10-04,2023-10-06,3,26.51,33.85,2023-10-06,0.0
UP,2023-10-06,2023-10-09,4,33.85,26.17,2023-10-09,0.0
DOWN,2023-10-09,2023-10-11,3,26.17,46.59,2023-10-11,0.0
UP,2023-10-11,2023-10-16,6,46.59,51.66,2023-10-16,0.0
DOWN,2023-10-16,2023-10-17,2,51.66,55.38,2023-10-17,0.0
UP,2023-10-17,2023-10-26,10,55.38,28.04,2023-10-26,0.0
DOWN,2023-10-26,2023-10-30,5,28.04,37.88,2023-10-30,0.0
UP,2023-10-30,2023-11-01,3,37.88,22.98,2023-11-01,0.0
DOWN,2023-11-01,2023-11-06,6,22.98,40.55,2023-11-06,0.0
UP,2023-11-06,2023-11-07,2,40.55,37.92,2023-11-07,0.0
DOWN,2023-11-07,2023-11-08,2,37.92,42.0,2023-11-08,0.0
UP,2023-11-08,2023-11-09,2,42.0,42.79,2023-11-09,0.0
DOWN,2023-11-09,2023-11-12,4,42.79,57.02,2023-11-12,0.0
UP,2023-11-12,2023-11-13,2,57.02,59.41,2023-11-13,0.0
DOWN,2023-11-13,2023-11-16,4,59.41,76.11,2023-11-16,0.0
UP,2023-11-16,2023-11-20,5,76.11,72.41,2023-11-20,0.0
DOWN,2023-11-20,2023-11-22,3,72.41,77.22,2023-11-22,0.0
UP,2023-11-22,2023-11-24,3,77.22,68.44,2023-11-24,0.0
DOWN,2023-11-24,2023-12-06,13,68.44,91.97,2023-12-06,0.0
UP,2023-12-06,2023-12-07,2,91.97,88.77,2023-12-07,0.0
DOWN,2023-12-07,2023-12-11,5,88.77,96.01,2023-12-11,0.0
UP,2023-12-11,2023-12-12,2,96.01,88.14,2023-12-12,0.0
DOWN,2023-12-12,2023-12-15,4,88.14,92.2,2023-12-15,0.0
UP,2023-12-15,2023-12-18,4,92.2,89.56,2023-12-18,0.0
DOWN,2023-12-18,2023-12-19,2,89.56,88.49,2023-12-19,0.0
UP,2023-12-19,2023-12-20,2,88.49,76.11,2023-12-20,0.0
DOWN,2023-12-20,2023-12-28,9,76.11,74.72,2023-12-28,0.0
UP,2023-12-28,2023-12-29,2,74.72,71.15,2023-12-29,0.0
DOWN,2023-12-29,2024-01-01,4,71.15,70.78,2024-01-01,0.0
UP,2024-01-01,2024-01-03,3,70.78,64.43,2024-01-03,0.0
DOWN,2024-01-03,2024-01-05,3,64.43,55.52,2024-01-05,0.0
UP,2024-01-05,2024-01-08,4,55.52,50.37,2024-01-08,0.0
DOWN,2024-01-08,2024-01-15,8,50.37,68.09,2024-01-15,0.0
UP,2024-01-15,2024-01-18,4,68.09,41.77,2024-01-18,0.0
DOWN,2024-01-18,2024-01-19,2,41.77,45.71,2024-01-19,0.0
UP,2024-01-19,2024-01-23,5,45.71,43.21,2024-01-23,0.0
DOWN,2024-01-23,2024-01-24,2,43.21,44.72,2024-01-24,0.0
UP,2024-01-24,2024-01-25,2,44.72,41.33,2024-01-25,0.0
DOWN,2024-01-25,2024-01-29,5,41.33,53.57,2024-01-29,0.0
UP,2024-01-29,2024-01-30,2,53.57,48.63,2024-01-30,0.0
DOWN,2024-01-30,2024-01-31,2,48.63,50.51,2024-01-31,0.0
UP,2024-01-31,2024-02-01,2,50.51,49.59,2024-02-01,0.0
DOWN,2024-02-01,2024-02-02,2,49.59,47.31,2024-02-02,0.0
UP,2024-02-02,2024-02-05,4,47.31,40.67,2024-02-05,0.0
DOWN,2024-02-05,2024-02-06,2,40.67,44.65,2024-02-06,0.0
UP,2024-02-06,2024-02-08,3,44.65,51.58,2024-02-08,0.0
DOWN,2024-02-08,2024-02-09,2,51.58,49.4,2024-02-09,0.0
